city_id,zip_code,city_name,county_name,state_code,state_name
CITY1,36091,Verbena,Autauga County,AL,Alabama
CITY4,36067,Prattville,Autauga County,AL,Alabama
CITY5,36701,Selma,Autauga County,AL,Alabama
CITY6,36003,Autaugaville,Autauga County,AL,Alabama
CITY7,36008,Booth,Autauga County,AL,Alabama
CITY8,36068,Prattville,Autauga County,AL,Alabama
CITY9,36022,Deatsville,Autauga County,AL,Alabama
CITY10,36703,Selma,Autauga County,AL,Alabama
CITY11,36749,Jones,Autauga County,AL,Alabama
CITY12,36066,Prattville,Autauga County,AL,Alabama
CITY13,36051,Marbury,Autauga County,AL,Alabama
CITY14,36502,Atmore,Baldwin County,AL,Alabama
CITY15,36507,Bay minette,Baldwin County,AL,Alabama
CITY16,36527,Daphne,Baldwin County,AL,Alabama
CITY17,36532,Fairhope,Baldwin County,AL,Alabama
CITY18,36561,Orange beach,Baldwin County,AL,Alabama
CITY19,36550,Little river,Baldwin County,AL,Alabama
CITY20,36564,Point clear,Baldwin County,AL,Alabama
CITY21,36579,Stockton,Baldwin County,AL,Alabama
CITY22,36526,Daphne,Baldwin County,AL,Alabama
CITY23,36551,Loxley,Baldwin County,AL,Alabama
CITY24,36555,Magnolia springs,Baldwin County,AL,Alabama
CITY25,36542,Gulf shores,Baldwin County,AL,Alabama
CITY26,36567,Robertsdale,Baldwin County,AL,Alabama
CITY27,36533,Fairhope,Baldwin County,AL,Alabama
CITY28,36576,Silverhill,Baldwin County,AL,Alabama
CITY29,36580,Summerdale,Baldwin County,AL,Alabama
CITY30,36547,Gulf shores,Baldwin County,AL,Alabama
CITY31,36559,Montrose,Baldwin County,AL,Alabama
CITY2,36758,Plantersville,Autauga County,AL,Alabama
CITY3,36006,Billingsley,Autauga County,AL,Alabama
CITY64,36793,Lawley,Bibb County,AL,Alabama
CITY65,35063,Empire,Blount County,AL,Alabama
CITY66,35146,Springville,Blount County,AL,Alabama
CITY67,35980,Horton,Blount County,AL,Alabama
CITY68,35013,Allgood,Blount County,AL,Alabama
CITY69,35126,Pinson,Blount County,AL,Alabama
CITY70,35097,Locust fork,Blount County,AL,Alabama
CITY71,35049,Cleveland,Blount County,AL,Alabama
CITY72,35172,Trafford,Blount County,AL,Alabama
CITY73,35957,Boaz,Blount County,AL,Alabama
CITY74,35031,Blountsville,Blount County,AL,Alabama
CITY75,35133,Remlap,Blount County,AL,Alabama
CITY76,35976,Guntersville,Blount County,AL,Alabama
CITY77,35016,Arab,Blount County,AL,Alabama
CITY78,35121,Oneonta,Blount County,AL,Alabama
CITY79,35079,Hayden,Blount County,AL,Alabama
CITY80,35180,Warrior,Blount County,AL,Alabama
CITY81,35952,Altoona,Blount County,AL,Alabama
CITY82,36029,Fitzpatrick,Bullock County,AL,Alabama
CITY83,36052,Mathews,Bullock County,AL,Alabama
CITY84,36089,Union springs,Bullock County,AL,Alabama
CITY85,36860,Hurtsboro,Bullock County,AL,Alabama
CITY86,36031,Fort davis,Bullock County,AL,Alabama
CITY87,36081,Troy,Bullock County,AL,Alabama
CITY88,36053,Midway,Bullock County,AL,Alabama
CITY89,36005,Banks,Bullock County,AL,Alabama
CITY90,36830,Auburn,Bullock County,AL,Alabama
CITY91,36071,Rutledge,Butler County,AL,Alabama
CITY92,36015,Chapman,Butler County,AL,Alabama
CITY93,36042,Honoraville,Butler County,AL,Alabama
CITY94,36474,Red level,Butler County,AL,Alabama
CITY95,36033,Georgiana,Butler County,AL,Alabama
CITY96,36456,Mc kenzie,Butler County,AL,Alabama
CITY97,36030,Forest home,Butler County,AL,Alabama
CITY98,36032,Fort deposit,Butler County,AL,Alabama
CITY99,36037,Greenville,Butler County,AL,Alabama
CITY100,36205,Anniston,Calhoun County,AL,Alabama
