,customer_id,first_name,last_name,gender,phone_number,email_id,birth_date,age,education_level,marital_status,number_of_children,register_date,occupation,annual_income,hobbies,degree_of_loyalty,social_class,mailing_street,city,state,country,zip_code
0,12591,Carmen,Ochoa,MALE,792-237-7727,circumstances1946@outlook.com,22-08-1996,45,Graduate Degree,Other,0,2022-06-15,Machine Setter,>$200k,Singing,Switchers,Upper Class,D Geology For The 21st,Seattle,Washington,USA,98125
1,10472,Marcelo,Conrad,MALE,917-482-1123,error2018@protonmail.com,1983-11-09 00:00:00,45,No High School,Other,1,2022-10-12,Weighbridge Clerk,<$15k,Cooking,Soft Core Loyals,Working Class,922 Eckard Pl,Port Angeles,Washington,USA,98362
2,12117,Lannie,Cruz,FEMALE,490-413-8882,rapid2094@duck.com,1990-10-05 00:00:00,45,Postgraduate Degree,Other,4,2023-02-01,Botanist,$15k-$25k,Writing,Hard Core Loyals,Working Class,2305 Holman St,Bremerton,Washington,USA,98310
3,14538,Isaac,Perkins,MALE,892-909-1380,george1818@live.com,1989-12-08 00:00:00,45,Bachelor's Degree,Other,1,2022-08-30,Plant Attendant,$35k-$50k,Writing,Hard Core Loyals,Upper Class,8053 25th Ave NW,Seattle,Washington,USA,98102
4,12083,Lloyd,Cardenas,MALE,578-785-7175,kate1865@gmail.com,1976-10-10 00:00:00,60,Postgraduate Degree,Other,4,2022-05-03,Gardener,>$200k,Origami,Switchers,Working Class,8053 25th Ave NW,Seattle,Washington,USA,98101
5,11395,Tynisha,Douglas,FEMALE,755-229-2115,consider1825@yahoo.com,1979-06-02 00:00:00,45,Diploma,Other,1,2022-09-11,Metallurgist,<$15k,Excercise,Switchers,Upper Class,222 Chestnut St #APT 510,Athens,Georgia,USA,30601
6,14865,Coletta,Silva,FEMALE,727-768-1052,forth1927@live.com,1987-07-03 00:00:00,45,No High School,Other,1,2022-09-01,Licensee,<$15k,Excercise,Hard Core Loyals,Middle Class,342 Hazel St,Helen,Georgia,USA,30513
7,12000,Ricki,Coleman,FEMALE,915-240-1146,title1954@outlook.com,25-12-1994,45,High School,Other,0,2022-04-07,Groundsman,$35k-$50k,Dance,Hard Core Loyals,Upper Class,342 Hazel St,Helen,Georgia,USA,30513
8,11150,Cleotilde,Hinton,FEMALE,484-144-5126,phys2072@live.com,18-06-1993,45,No High School,Other,3,2022-08-16,Regulator,$150k-$200k,Writing,Switchers,Upper Class,5 Arbor Cove Dr,StockBridge,Georgia,USA,01226
9,10258,Levi,Johnston,MALE,692-601-8672,journal2045@example.com,26-10-1982,45,Postgraduate Degree,Other,0,2023-01-22,Ambulance Controller,$35k-$50k,Hunting,Hard Core Loyals,Middle Class,23697 Park Island Trl,Atlanta,Georgia,USA,30322
10,13766,Tamie,Wilson,FEMALE,272-590-9650,timothy2039@duck.com,19-11-1976,60,Diploma,Other,2,2022-04-08,Television Presenter,>$200k,Hunting,Hard Core Loyals,Working Class,22038 E Yorkshire Dr,Athens,Georgia,USA,30601
11,14054,Latesha,Stevens,FEMALE,774-755-2136,workforce1896@live.com,1992-04-07 00:00:00,45,High School,Other,3,2022-10-22,Scrap Dealer,$150k-$200k,Baking,Switchers,Middle Class,2804 Caldwell Dr,Valdosta,Georgia,USA,31605
12,10146,Virgilio,Battle,MALE,325-288-2778,carb2060@yahoo.com,14-09-1995,45,No High School,Other,0,2022-11-03,Purser,$15k-$25k,Gardening,Soft Core Loyals,Working Class,11328 Michelle Way,Hampton,Virginia,USA,23503
13,10943,Nelson,Rivera,MALE,476-278-3845,latino2082@gmail.com,24-11-1982,45,High School,Other,4,2022-05-22,Production Planner,$15k-$25k,Dance,Soft Core Loyals,Working Class,1367 Misty Ridge Ct,Hampton,Virginia,USA,23681
14,10868,Hyon,Melendez,FEMALE,219-654-5634,asked2079@example.com,21-03-1980,45,Associate's Degree,Other,1,2022-12-21,Chemist,$150k-$200k,Blogging,Hard Core Loyals,Working Class,6204 Harding Ave,Portsmouth,Virginia,USA,03802
15,11476,Trent,Harper,MALE,346-371-6394,descriptions1917@live.com,14-02-1995,45,High School,Other,3,2023-02-09,Labourer,$150k-$200k,Cooking,Hard Core Loyals,Lower Class,1367 Misty Ridge Ct,Hampton,Virginia,USA,23503
16,15248,Erich,Skinner,MALE,502-831-6959,pour1809@protonmail.com,1978-04-01 00:00:00,45,Graduate Degree,Other,1,2023-01-26,Horticulturalist,<$15k,Handicraft,Hard Core Loyals,Lower Class,6100 COUNTY ROAD 26,McLean,Virginia,USA,22102
17,14503,Kurt,Lindsay,MALE,693-750-5260,stamps1827@gmail.com,1987-01-02 00:00:00,45,High School,Other,3,2022-08-17,Advertising Staff,$15k-$25k,Painting,Soft Core Loyals,Upper Class,6100 COUNTY ROAD 26,McLean,Virginia,USA,22102
18,12768,Gilberto,Welch,MALE,319-590-6443,vegas1909@protonmail.com,17-11-1990,45,Associate's Degree,Other,3,2022-05-07,Mill Worker,$50k-$75k,Excercise,Switchers,Upper Class,7854 Azalea Grdn Rd #77,Norfolk,Virginia,USA,23703
19,15043,Lacy,Vang,MALE,599-209-3421,walk1840@gmail.com,22-09-1996,45,No High School,Other,0,2023-02-13,Pilot,$150k-$200k,Writing,Hard Core Loyals,Working Class,61 Woodworth Ave,Jamestown,Virginia,USA,14701
20,12142,Torri,Dean,FEMALE,990-536-7558,describing1873@gmail.com,25-12-1985,45,Graduate Degree,Other,0,2022-11-05,Tutor,$100k-$150k,Juggling,Hard Core Loyals,Working Class,61 Woodworth Ave,Jamestown,Virginia,USA,14702
21,12989,Letisha,Macias,FEMALE,671-107-2363,lows1814@example.org,1995-08-12 00:00:00,45,Graduate Degree,Other,4,2022-09-21,Veterinary Surgeon,>$200k,Gardening,Hard Core Loyals,Lower Class,4812 Peace Way,Portsmouth,Virginia,USA,03803
22,11733,Darrell,Noble,MALE,586-494-5250,projection1800@duck.com,15-04-1992,45,Bachelor's Degree,Other,1,2022-06-25,Lighting Designer,$25k-$35k,Dance,Soft Core Loyals,Lower Class,5611 S 379th Hwy,Jamestown,Virginia,USA,14701
23,13464,Isreal,Estrada,MALE,845-133-6167,walking2033@outlook.com,20-05-1996,45,Diploma,Other,2,2022-07-17,Shoe Repairer,<$15k,Baking,Soft Core Loyals,Middle Class,11328 Michelle Way,Hampton,Virginia,USA,23681
24,12459,Na,Garrett,FEMALE,542-271-5257,avoiding1846@protonmail.com,1984-01-02 00:00:00,45,Associate's Degree,Other,4,2022-09-13,Trade Mark Agent,<$15k,Handicraft,Hard Core Loyals,Lower Class,60 Lovall Ave,Jamestown,Virginia,USA,14701
25,14391,Fidela,Phelps,FEMALE,770-303-6041,china1821@duck.com,26-07-1997,25,Associate's Degree,Other,1,2023-02-03,Property Dealer,<$15k,Handicraft,Switchers,Lower Class,11643 Sarah Loop,Hampton,Virginia,USA,23661
26,11439,Celena,Mathis,FEMALE,756-476-1015,gauge1870@yandex.com,25-05-1990,45,High School,Other,4,2023-02-05,Labourer,$50k-$75k,Dance,Soft Core Loyals,Lower Class,204 W Washington St,Alexandria,Virginia,USA,22334
27,10915,Carol,Talley,MALE,150-277-4924,matt1813@live.com,31-03-1983,45,Graduate Degree,Other,1,2022-07-05,Occupations,>$200k,Cooking,Soft Core Loyals,Working Class,8036 Danbury Dr,Norfolk,Virginia,USA,23224
28,11805,Carlita,Pruitt,FEMALE,846-931-8138,screen1929@example.org,21-07-1977,45,Graduate Degree,Other,1,2023-01-11,Historian,$75k-$100k,Juggling,Switchers,Working Class,912 Logan St,Norfolk,Virginia,USA,23515
29,14686,Mathew,Calderon,MALE,141-166-6090,comes1908@live.com,14-01-1983,45,No High School,Other,4,2022-08-25,Green Keeper,$100k-$150k,Cycling,Switchers,Middle Class,2971 NE Loyola St,Bremerton,Washington,USA,98310
30,14903,Carter,Shields,MALE,445-770-9920,command1955@outlook.com,1986-02-07 00:00:00,45,Graduate Degree,Other,2,2022-11-23,Optical,>$200k,Poker,Hard Core Loyals,Middle Class,106 Woods Run Cir,Richland,Washington,USA,99354
